userName,content,score
Rifa'i,"tiap update harus login, nyusahin.",1
joe Talim,lebih di tingkatkan lagi.. pake notif kyaknya lebih oke.. biar gk lupa cek up,4
zawa,mempersulit bukan mempermudah kode otp aja ga masuk masuk,1
Juli Yanah,"saya kasih bintangnya full, semoga di mudah dengan mo jkn nya",5
M Jevon Juli Ariyanto,membantu,5
sadiman 11 juli,"APLIKASI LOLAAAAA BGTTTT, WIFI LANCAR, KUOTA MASIH BANYAKK, BUKA APK MUNCUL TRS POP UP OFFLINE², GABISA BISAAAAAAAAA",1
Anto Wibowo,bagus,5
Sukma Febriyanti,susah bgt pke apl ini. kadang² keluar sendiri data udah di perbarui tp di sni tetep ga bisa ga jelas pokoknya,1
Dicky Maulana,perbaiki kinerjanya pada saat foto wajah,5
Abdul Jafar,"nik yg dimasukkan sdh benar tapi apk nya bilang salah, apk apa ini.",1
Ujang Hidayatullah,"Aplikasi fast respon, mudah digunakan",5
Ari Syamsul Hidayat Anshar,Ini aplikasi agak jelek suka logout terus.,4
Bambang Surinto,ok,5
Ardian Syah,pelayanan terus harus bagus ya,5
Adi Kusnadi,cepat dan akurat,5
Putri Oktavia,"udah login, pas Mau lihat tiba"" out sendiri suruh daftar lagi, gitu trs gimana sih aplikasinya, udah daftar ga bisa lagi aneh emang",1
Sahdan Sahdan,"aplikasi pemerintah yang tidak ad gunanya. masuk juga ngk bisa, tutorial cara bikin aplikasi supaya bisa korupsi",1
Bruang,"aplikasi ampas. mau masuk, minta OTP gak masuk masuk SMS. app gagal fungsi. asal jadi",1
I Made Indrawan,"Aplikasinya harus diperbaiki. sudah daftar biometrik. setelah beberapa minggu tidak pernah pakai. trus mau masuk biometrik tidak bisa digunakan lagi. harus input ulang nik , password dan chapta. terus untuk chapta nya sering tidak jelas.",1
Syahdani rachma,nunggu otp 1 abad,1
Faizal Dhiyaul Haq,nomor gue tiba² berubah anjir... parah ni aplikasi.,1
Treisye Nooh,sangat membantu didlm perawatan di Rumah sakit,5
Rgj K3L,"pindah faskes gk fleksibel gk bisa langsung proses, status pindahnya pun gk jelas gk ada progreanya",1
Halima Tussa'diah,"syukur msh dikasih bintang 2kenapa susah buat login di jkn ini.sedangkan semua sdh benar tp tetap tdk bs masuk,tp kl mau berobat hrs pake apk ini.sungguh dunia yg aneh.mau canggih tp mempersulit.kelak yg mempersulit akan di persulit urusanya dunia akherat.",2
Tjeng Hui,sering minta kata sandi setiap masuk jkm sering mau login selalu bilang ktp salah,1
Sayid Muhammad Fadhiil Firdaus,otp no. handphone gak masuk-masuk,1
Dzikra Ramadhan,bisa mendapatkan info dan memudahkan sekali aplikasi ini,5
Anisa Wardania,terbantu banget dgn adanya aplikasi ini,5
Afrison Son,ok,5
Irma Indriyani,aplikasi buruk log out sendiri pendaftaran error sering di batalkan sendiri buruk buruk buruk,1
Gabriela Meyril Kaligis,aplikasi nya kadang lambat ya. cuman so far baguss nih JKn,5
